epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,266.338,0.92413,1.90209,1.16892,1.20053,0,0.58509,0.60824,0.58097,0.3856,0.57727,0.59995,0.56977,0.33568,1.18517,2.48144,1.56433,1.43334,0,0.00122141,0.00122141,0.00122141
29,275.479,0.8729,1.7831,1.15007,1.17957,0,0.55005,0.61921,0.58387,0.41657,0.55432,0.61395,0.57935,0.36865,1.1229,2.35143,1.41397,1.36777,0,0.00120491,0.00120491,0.00120491
30,284.799,0.89266,1.7509,1.13174,1.19614,0,0.58762,0.58385,0.60696,0.419,0.5892,0.51848,0.57062,0.35269,1.12067,2.36798,1.48331,1.37132,0,0.0011884,0.0011884,0.0011884
31,294.076,0.86749,1.85263,1.10478,1.18184,0,0.623,0.61835,0.63242,0.42581,0.61707,0.59427,0.60473,0.37651,1.10693,2.26197,1.37418,1.35597,0,0.0011719,0.0011719,0.0011719
32,303.467,0.85474,1.73393,1.08524,1.17006,0,0.64254,0.62427,0.6354,0.45283,0.64375,0.61875,0.61815,0.39971,1.03792,2.32785,1.28587,1.30977,0,0.0011554,0.0011554,0.0011554
33,312.775,0.77655,1.58562,0.96674,1.11556,0,0.61671,0.64896,0.64665,0.46645,0.64527,0.59318,0.6146,0.39903,1.05539,2.37521,1.25795,1.3453,0,0.00113889,0.00113889,0.00113889
34,322.014,0.83749,1.75034,0.99518,1.14306,0,0.62046,0.61146,0.6273,0.44357,0.60283,0.59635,0.61186,0.40787,1.07159,2.18648,1.38092,1.34022,0,0.00112239,0.00112239,0.00112239
35,331.082,0.81078,1.63055,1.04227,1.13505,0,0.59713,0.625,0.62573,0.44505,0.61636,0.60402,0.61798,0.39555,1.0145,2.21583,1.39537,1.33615,0,0.00110589,0.00110589,0.00110589
36,340.287,0.79379,1.60509,0.98441,1.1214,0,0.64724,0.60602,0.63125,0.45193,0.65284,0.60635,0.62776,0.41319,1.06347,2.20039,1.29065,1.33021,0,0.00108938,0.00108938,0.00108938
37,349.355,0.78373,1.60429,0.97356,1.12592,0,0.66104,0.66042,0.6664,0.46381,0.65802,0.6401,0.65667,0.42019,1.02761,2.32773,1.23241,1.30197,0,0.00107288,0.00107288,0.00107288
38,358.494,0.79938,1.70005,0.9928,1.1283,0,0.6778,0.62231,0.64217,0.45608,0.67934,0.6137,0.62656,0.41188,1.0924,2.30351,1.26142,1.37195,0,0.00105638,0.00105638,0.00105638
39,367.462,0.78424,1.60983,0.95899,1.11288,0,0.63781,0.62115,0.63707,0.45412,0.62797,0.59791,0.60243,0.39289,1.09263,2.40699,1.29045,1.35344,0,0.00103987,0.00103987,0.00103987
40,376.659,0.80134,1.62349,0.97152,1.12364,0,0.66711,0.58234,0.61884,0.44682,0.66064,0.57627,0.58252,0.38872,1.067,2.35504,1.24086,1.3413,0,0.00102337,0.00102337,0.00102337
41,385.724,0.77784,1.62822,0.91757,1.11566,0,0.63878,0.63073,0.64913,0.46658,0.72057,0.56823,0.63258,0.41831,1.08886,2.18665,1.23568,1.33652,0,0.00100687,0.00100687,0.00100687
42,394.834,0.77594,1.63283,0.94267,1.11951,0,0.68725,0.6151,0.64078,0.46571,0.71907,0.58161,0.62628,0.41632,1.07515,2.20557,1.34906,1.34226,0,0.000990365,0.000990365,0.000990365
43,403.868,0.78493,1.66312,0.96573,1.12121,0,0.64375,0.61615,0.64972,0.47813,0.64189,0.6076,0.64155,0.43637,1.04093,2.13153,1.28857,1.29405,0,0.000973861,0.000973861,0.000973861
44,412.979,0.78746,1.59622,0.89669,1.11457,0,0.61614,0.67917,0.65826,0.4742,0.59368,0.67448,0.64684,0.44658,1.04778,2.05505,1.224,1.32141,0,0.000957358,0.000957358,0.000957358
45,422.075,0.75424,1.52747,0.9177,1.09322,0,0.71091,0.60939,0.6621,0.49265,0.71452,0.61354,0.66064,0.43996,0.99079,2.21629,1.2511,1.30926,0,0.000940855,0.000940855,0.000940855
46,431.151,0.72905,1.48391,0.86442,1.07999,0,0.67839,0.63165,0.67851,0.4916,0.65407,0.62552,0.66126,0.42946,0.991,2.10652,1.19256,1.30352,0,0.000924352,0.000924352,0.000924352
47,440.188,0.74061,1.49984,0.87423,1.0898,0,0.62736,0.66262,0.68455,0.49952,0.65009,0.63656,0.66733,0.45589,0.99602,2.02365,1.17829,1.29773,0,0.000907848,0.000907848,0.000907848
48,449.308,0.72622,1.45695,0.85816,1.08224,0,0.70143,0.63457,0.67565,0.50776,0.70979,0.62802,0.67358,0.46319,0.94161,1.97828,1.12196,1.26107,0,0.000891345,0.000891345,0.000891345
49,458.456,0.74613,1.536,0.90375,1.1,0,0.57527,0.61562,0.59442,0.42048,0.58078,0.59583,0.57992,0.36988,1.01575,2.0969,1.31484,1.31207,0,0.000874842,0.000874842,0.000874842
50,467.562,0.69206,1.46673,0.85458,1.06374,0,0.65362,0.64567,0.67248,0.49692,0.68263,0.63229,0.67643,0.45057,0.96744,2.07283,1.15886,1.26811,0,0.000858338,0.000858338,0.000858338
51,476.658,0.73819,1.48303,0.85441,1.09098,0,0.62202,0.60995,0.62968,0.46617,0.65543,0.59219,0.62107,0.41234,0.99195,2.09944,1.24992,1.27473,0,0.000841835,0.000841835,0.000841835
52,485.825,0.75153,1.5509,0.88913,1.08955,0,0.62093,0.64748,0.65634,0.48312,0.62379,0.648,0.65464,0.43783,0.99089,2.06865,1.32567,1.26159,0,0.000825332,0.000825332,0.000825332
53,495.08,0.68556,1.42963,0.83232,1.06863,0,0.68927,0.68594,0.70601,0.52125,0.68424,0.68354,0.6922,0.46817,0.95041,1.99,1.12264,1.25607,0,0.000808828,0.000808828,0.000808828
54,504.671,0.70206,1.40681,0.81289,1.07475,0,0.686,0.63652,0.66789,0.49117,0.68126,0.63021,0.65102,0.44488,0.98938,2.02091,1.1706,1.29711,0,0.000792325,0.000792325,0.000792325
55,514.061,0.69874,1.47208,0.82986,1.06343,0,0.6608,0.66815,0.68065,0.49926,0.64581,0.65315,0.65485,0.45489,0.96522,2.07579,1.11868,1.27333,0,0.000775822,0.000775822,0.000775822
56,523.262,0.66228,1.36324,0.78698,1.05302,0,0.70413,0.60602,0.65673,0.48876,0.67808,0.59658,0.63968,0.4297,1.00089,2.06735,1.2143,1.28624,0,0.000759318,0.000759318,0.000759318
57,532.379,0.68952,1.3823,0.77585,1.05276,0,0.73079,0.59732,0.65587,0.49557,0.73226,0.60079,0.65861,0.4445,0.9694,1.98234,1.23785,1.26628,0,0.000742815,0.000742815,0.000742815
58,541.445,0.65912,1.34441,0.78444,1.04536,0,0.687,0.61927,0.66594,0.49965,0.69198,0.62651,0.66917,0.46588,0.97004,1.98864,1.1426,1.27227,0,0.000726312,0.000726312,0.000726312
59,550.506,0.63627,1.27018,0.75725,1.0322,0,0.6787,0.58385,0.63065,0.47936,0.69709,0.60625,0.64069,0.45,0.95989,1.94861,1.22326,1.26903,0,0.000709809,0.000709809,0.000709809
60,559.571,0.65498,1.32864,0.73061,1.02417,0,0.67015,0.65625,0.66742,0.51105,0.6746,0.65417,0.66331,0.47053,0.93295,1.98518,1.1686,1.25669,0,0.000693305,0.000693305,0.000693305
61,568.732,0.67655,1.41938,0.77823,1.05612,0,0.67166,0.63594,0.65924,0.49657,0.66628,0.62396,0.65992,0.45739,0.93723,1.91253,1.18835,1.27715,0,0.000676802,0.000676802,0.000676802
62,577.775,0.62812,1.25623,0.75814,1.02386,0,0.64863,0.66147,0.67328,0.50667,0.6817,0.63594,0.67279,0.47521,0.9355,1.88282,1.15007,1.26686,0,0.000660299,0.000660299,0.000660299
63,586.729,0.64862,1.36872,0.78219,1.0427,0,0.66337,0.65104,0.6717,0.50787,0.6701,0.65509,0.67746,0.46675,0.9234,1.88353,1.19496,1.2479,0,0.000643795,0.000643795,0.000643795
64,595.82,0.63963,1.31797,0.76754,1.03353,0,0.69618,0.66055,0.66106,0.49453,0.69618,0.66055,0.66477,0.45888,0.91451,1.84565,1.1091,1.24019,0,0.000627292,0.000627292,0.000627292
65,604.892,0.62342,1.28881,0.71603,1.0286,0,0.7031,0.61309,0.65685,0.50541,0.71579,0.61985,0.65696,0.4667,0.91274,1.91777,1.20517,1.25312,0,0.000610789,0.000610789,0.000610789
66,614.119,0.61662,1.28821,0.70849,1.01521,0,0.67284,0.6099,0.65594,0.50234,0.67924,0.61302,0.65143,0.46714,0.92713,1.87876,1.24137,1.25137,0,0.000594286,0.000594286,0.000594286
67,623.266,0.64489,1.36207,0.73521,1.04152,0,0.6974,0.6401,0.68867,0.52276,0.69231,0.63594,0.66998,0.47781,0.92428,1.84351,1.15327,1.25237,0,0.000577782,0.000577782,0.000577782
68,632.409,0.6289,1.36835,0.70886,1.02955,0,0.69801,0.63229,0.67452,0.50287,0.70334,0.6195,0.66147,0.46606,0.94944,1.81109,1.14868,1.28969,0,0.000561279,0.000561279,0.000561279
69,641.412,0.60114,1.2407,0.68555,1.00887,0,0.74169,0.60521,0.66571,0.49376,0.71777,0.62274,0.66316,0.46478,0.96648,1.8615,1.17027,1.28781,0,0.000544776,0.000544776,0.000544776
70,650.397,0.62724,1.32964,0.74348,1.02151,0,0.68345,0.65048,0.68233,0.51782,0.7116,0.60677,0.66155,0.47801,0.90321,1.82003,1.07932,1.23825,0,0.000528272,0.000528272,0.000528272
71,659.328,0.58238,1.26199,0.66313,1.00073,0,0.74065,0.63144,0.70425,0.54066,0.73688,0.62884,0.70496,0.50345,0.88257,1.80682,1.03744,1.24503,0,0.000511769,0.000511769,0.000511769
72,668.435,0.59047,1.23736,0.6668,1.00492,0,0.72513,0.66183,0.72989,0.54631,0.72164,0.65923,0.72443,0.51328,0.91305,1.83566,1.0454,1.27495,0,0.000495266,0.000495266,0.000495266
73,677.489,0.57964,1.14493,0.65669,0.99657,0,0.71861,0.66771,0.69093,0.51945,0.70946,0.65781,0.67866,0.47761,0.94228,1.90762,1.10238,1.28738,0,0.000478762,0.000478762,0.000478762
74,686.558,0.5904,1.23248,0.66058,1.00342,0,0.70735,0.6349,0.66914,0.50144,0.70575,0.63464,0.66556,0.46832,0.94469,1.89737,1.17464,1.28979,0,0.000462259,0.000462259,0.000462259
75,697.438,0.58908,1.18525,0.64863,1.00063,0,0.66561,0.66667,0.68515,0.51885,0.67023,0.65312,0.67851,0.48774,0.92412,1.92768,1.15171,1.28595,0,0.000445756,0.000445756,0.000445756
76,709.103,0.57548,1.23121,0.64607,1.00059,0,0.6932,0.64583,0.69464,0.51917,0.70591,0.64738,0.68717,0.49005,0.90158,1.86048,1.12741,1.25451,0,0.000429253,0.000429253,0.000429253
77,718.583,0.60678,1.22065,0.67359,1.01429,0,0.70365,0.63524,0.67379,0.50026,0.71136,0.6224,0.66584,0.47313,0.92191,1.81475,1.18732,1.26274,0,0.000412749,0.000412749,0.000412749
78,727.65,0.5862,1.21328,0.64168,1.00624,0,0.69445,0.67209,0.67615,0.50347,0.68234,0.68294,0.66904,0.47934,0.92258,1.85033,1.12219,1.27414,0,0.000396246,0.000396246,0.000396246
79,736.768,0.57257,1.22052,0.61635,0.99022,0,0.72463,0.66023,0.71871,0.54625,0.71052,0.65812,0.71033,0.51187,0.88488,1.87651,1.09435,1.23916,0,0.000379743,0.000379743,0.000379743
80,745.874,0.57823,1.19529,0.62914,0.99499,0,0.70997,0.68125,0.70746,0.53302,0.74,0.63714,0.69641,0.49953,0.88421,1.8192,1.05484,1.24521,0,0.000363239,0.000363239,0.000363239
81,755.174,0.56296,1.16753,0.59226,0.97961,0,0.73523,0.63549,0.67134,0.5095,0.73158,0.63288,0.6568,0.47189,0.87043,1.81712,1.09741,1.23294,0,0.000346736,0.000346736,0.000346736
82,764.357,0.55617,1.16654,0.58868,0.98579,0,0.68747,0.66927,0.69963,0.54075,0.68212,0.66198,0.68951,0.50743,0.87497,1.82178,1.09128,1.2444,0,0.000330233,0.000330233,0.000330233
83,773.399,0.56327,1.13697,0.59207,0.97972,0,0.75267,0.60552,0.69106,0.52953,0.72858,0.60938,0.68122,0.49689,0.88913,1.83001,1.1372,1.24578,0,0.000313729,0.000313729,0.000313729
